"treat","period_sequence","foer_person_cost_month","alv_person_cost_month"
0,"01/07/2020",108.086677760388,1231.36705971564
0,"01/01/2021",166.247488772018,1037.62055418641
0,"01/07/2021",205.196743174801,763.212345655608
0,"01/01/2022",126.431875881191,709.180195576619
0,"01/07/2022",134.224965110852,599.15802464455
0,"01/01/2023",105.100915052022,531.00505750395
0,"01/07/2023",70.482733881523,536.481443917851
0,"01/01/2024",57.5398040731015,537.783180410743
1,"01/07/2020",648.491152447181,792.459178494624
1,"01/01/2021",1305.73264699623,275.971408602151
1,"01/07/2021",1399.48485518258,104.389630107527
1,"01/01/2022",1106.80894459759,121.283394623656
1,"01/07/2022",751.402004014171,188.043852688172
1,"01/01/2023",489.736975847645,195.0637
1,"01/07/2023",440.447773133808,191.253804301075
1,"01/01/2024",379.175226574501,331.876933333333
